OrgNr,PeOrgNr,Företagsnamn,Firma,Juridisk form,Privat/Publikt,Registreringsdatum,Startdatum,Slutdatum,Bolagsstatus,Företagsstatus,Bransch_1,"Bransch_1, kod",Säteskommun,Säteslän,ARegion,PostAdress,PostNr,PostOrt,E-post,Telefon,Fskattstatus,Momsstatus,Arbetsgivarstatus,Storleksklass SME,Utskick,Reklam
8025560791,168025560791,UNIONKLUBBEN OUTOKUMPU NYBY,,Ideella föreningar,Ej aktiebolag,2026-04-13,,,Normalläge,Har aldrig varit verksam,Intressebevakning inom arbetstagarorganisationer,94200,Eskilstuna,Södermanland,Eskilstuna,NYBYVÄGEN 8,644 80,TORSHÄLLA,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
8025560817,168025560817,UNIONENKLUBBEN NORMA SWEDEN AB,,Ideella föreningar,Ej aktiebolag,2026-04-13,,,Normalläge,Har aldrig varit verksam,Intressebevakning inom arbetstagarorganisationer,94200,Gislaved,Jönköping,Värnamo,VISIRGATAN 1  ATT: CHRISTINA ARVIDSSON,334 33,ANDERSTORP,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
8025560833,168025560833,CEPHEID UNIONENKLUBB,,Ideella föreningar,Ej aktiebolag,2026-04-13,,,Normalläge,Har aldrig varit verksam,Intressebevakning inom arbetstagarorganisationer,94200,Solna,Stockholm,Stockholm/Södertälje,RÖNTGENVÄGEN 2,171 27,SOLNA,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
8025560882,168025560882,IF METALLS VERKSTADSKLUBB ROSENFORS BRUK,,Ideella föreningar,Ej aktiebolag,2026-04-13,,,Normalläge,Har aldrig varit verksam,Intressebevakning inom arbetstagarorganisationer,94200,Hultsfred,Kalmar,Hultsfred/Vimmerby,BOX 10,577 04,MÅLILLA,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
8025560890,168025560890,VERKSTADSKLUBBEN HP-TRONIC,,Ideella föreningar,Ej aktiebolag,2026-04-13,,,Normalläge,Har aldrig varit verksam,Intressebevakning inom arbetstagarorganisationer,94200,Ljungby,Kronoberg,Ljungby,LÅNGGATAN 26,341 32,LJUNGBY,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
8025560940,168025560940,SIF KLUBBEN PÅ UVA INTERNATIONAL,,Ideella föreningar,Ej aktiebolag,2026-04-13,,,Normalläge,Har aldrig varit verksam,Intressebevakning inom arbetstagarorganisationer,94200,Stockholm,Stockholm,Stockholm/Södertälje,GÅRDSFOGDEVÄGEN 18 B ATT. JOSEPH MAGOKE,168 67,BROMMA,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
8025561187,168025561187,"RIVERTY VARBERG, UNIONENKLUBBEN",,Ideella föreningar,Ej aktiebolag,2026-04-13,,,Normalläge,Har aldrig varit verksam,Intressebevakning inom arbetstagarorganisationer,94200,Varberg,Halland,Falkenberg/Varberg,BOX 1143  ATT: JOAKIM WINBLADH,432 15,VARBERG,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
8025561286,168025561286,RIKSKLUBB ALMI ÖMS AB,,Ideella föreningar,Ej aktiebolag,2026-04-13,,,Normalläge,Har aldrig varit verksam,Intressebevakning inom arbetstagarorganisationer,94200,Linköping,Östergötland,Linköping,SANKT LARSGATAN 18  VÅN 4,582 24,LINKÖPING,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
